Title,Producer,Episodes,Rating,Members,Anime Information Url
Fullmetal Alchemist: Brotherhood,['Bones'],64,9.15,2800000,https://myanimelist.net/anime/5114/Fullmetal_Alchemist__Brotherhood
Sword Art Online,['A-1 Pictures'],25,7.2,2700000,https://myanimelist.net/anime/11757/Sword_Art_Online
Naruto,['Studio Pierrot'],220,7.96,2400000,https://myanimelist.net/anime/20/Naruto
Hunter x Hunter (2011),['Madhouse'],148,9.05,2300000,https://myanimelist.net/anime/11061/Hunter_x_Hunter_2011
No Game No Life,['Madhouse'],12,8.12,2100000,https://myanimelist.net/anime/19815/No_Game_No_Life
Naruto: Shippuuden,['Studio Pierrot'],500,8.23,2000000,https://myanimelist.net/anime/1735/Naruto__Shippuuden
Noragami,['Bones'],12,7.97,1900000,https://myanimelist.net/anime/20507/Noragami
One Piece,['Toei Animation'],0,8.63,1800000,https://myanimelist.net/anime/21/One_Piece
Akame ga Kill!,['White Fox'],24,7.47,1800000,https://myanimelist.net/anime/22199/Akame_ga_Kill
Nanatsu no Taizai,['A-1 Pictures'],24,7.73,1800000,https://myanimelist.net/anime/23755/Nanatsu_no_Taizai
Sword Art Online II,['A-1 Pictures'],24,6.71,1700000,https://myanimelist.net/anime/21881/Sword_Art_Online_II
Kono Subarashii Sekai ni Shukufuku wo!,['Studio Deen'],10,8.13,1600000,https://myanimelist.net/anime/30831/Kono_Subarashii_Sekai_ni_Shukufuku_wo
Bleach,['Studio Pierrot'],366,7.84,1600000,https://myanimelist.net/anime/269/Bleach
Cowboy Bebop,['Sunrise'],26,8.76,1600000,https://myanimelist.net/anime/1/Cowboy_Bebop
Sen to Chihiro no Kamikakushi,['Studio Ghibli'],0,8.79,1600000,https://myanimelist.net/anime/199/Sen_to_Chihiro_no_Kamikakushi
Fairy Tail,"['A-1 Pictures', 'Satelight']",175,7.59,1600000,https://myanimelist.net/anime/6702/Fairy_Tail
Tengen Toppa Gurren Lagann,['Gainax'],27,8.64,1400000,https://myanimelist.net/anime/2001/Tengen_Toppa_Gurren_Lagann
Dr. Stone,['TMS Entertainment'],24,8.3,1400000,https://myanimelist.net/anime/38691/Dr_Stone
JoJo no Kimyou na Bouken (TV),['David Production'],26,7.93,1400000,https://myanimelist.net/anime/14719/JoJo_no_Kimyou_na_Bouken_TV
Fullmetal Alchemist,['Bones'],51,8.12,1300000,https://myanimelist.net/anime/121/Fullmetal_Alchemist
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka,['J.C.Staff'],13,7.57,1300000,https://myanimelist.net/anime/28121/Dungeon_ni_Deai_wo_Motomeru_no_wa_Machigatteiru_Darou_ka
Overlord,['Madhouse'],13,7.92,1300000,https://myanimelist.net/anime/29803/Overlord
Noragami Aragoto,['Bones'],13,8.17,1300000,https://myanimelist.net/anime/30503/Noragami_Aragoto
Kono Subarashii Sekai ni Shukufuku wo! 2,['Studio Deen'],10,8.28,1300000,https://myanimelist.net/anime/32937/Kono_Subarashii_Sekai_ni_Shukufuku_wo_2
Tate no Yuusha no Nariagari,['Kinema Citrus'],25,8.03,1300000,https://myanimelist.net/anime/35790/Tate_no_Yuusha_no_Nariagari
Tensei shitara Slime Datta Ken,['8bit'],24,8.13,1100000,https://myanimelist.net/anime/37430/Tensei_shitara_Slime_Datta_Ken
Made in Abyss,['Kinema Citrus'],13,8.68,1100000,https://myanimelist.net/anime/34599/Made_in_Abyss
Howl no Ugoku Shiro,['Studio Ghibli'],0,8.66,1100000,https://myanimelist.net/anime/431/Howl_no_Ugoku_Shiro
Samurai Champloo,['Manglobe'],26,8.5,1100000,https://myanimelist.net/anime/205/Samurai_Champloo
Dragon Ball Z,['Toei Animation'],291,8.15,1100000,https://myanimelist.net/anime/813/Dragon_Ball_Z
Mononoke Hime,['Studio Ghibli'],0,8.68,1100000,https://myanimelist.net/anime/164/Mononoke_Hime
Vinland Saga,['Wit Studio'],24,8.73,1000000,https://myanimelist.net/anime/37521/Vinland_Saga
Log Horizon,['Satelight'],25,7.95,1000000,https://myanimelist.net/anime/17265/Log_Horizon
JoJo no Kimyou na Bouken Part 3: Stardust Crusaders,['David Production'],24,8.1,978000,https://myanimelist.net/anime/20899/JoJo_no_Kimyou_na_Bouken_Part_3__Stardust_Crusaders
